active_power,reactive_power,v_mag_est,v_ang_est,result_f
"[0.0, 25.612200179638073, 102.94153172745375, 49.68635021784734, 6.554296666945008, 9.658855451106188, 0.0, 0.0, 30.693157138569866, 9.749061280065764, 2.8288182920141236, 7.2465800392752655, 15.29519026032228, 13.185541099642528]","[0.0, 11.091694910055443, 17.512241046492488, -3.9386200333462913, 1.5564448119309544, 6.873687420594126, 0.0, 0.0, 15.21984046627385, 5.489959476441364, 1.768370388636266, 1.782512615291529, 5.103243174607394, 5.028468876827223]","[1.0599996505544953, 1.0571646291719579, 1.0226148096025622, 1.0227763955235285, 1.0279115441281879, 1.0350144055898645, 1.0260150866793145, 1.059997884198448, 1.007855589700644, 1.0050353867282693, 1.0165507046371287, 1.0175513962680063, 1.0127079955120086, 0.9924649490434972]","[0.0, -0.04686009620857693, -0.19490319796716685, -0.1492302829747083, -0.12527052029640243, -0.23015799783159116, -0.20665033581742437, -0.20665032305090558, -0.2372919741916739, -0.2417022508837077, -0.23760920963069926, -0.24785064149740504, -0.24841402947547994, -0.25848511004895236]",5685.094991664033
"[0.0, 25.13807248333592, 87.34237093693983, 40.34419279696918, 6.772922894127503, 10.87344289304563, 0.0, 0.0, 23.682035140268052, 9.038690289279238, 3.3843754044082908, 5.421943057548582, 11.447272983601888, 13.932186421565623]","[0.0, 11.801870894665436, 19.142808725249584, -4.216709575876478, 1.5127229455227482, 8.915346248162882, 0.0, 0.0, 16.581730079125443, 5.3380376787749055, 1.6450851559517767, 1.303607646306901, 6.054189254833361, 5.005358046457723]","[1.0599996272446692, 1.0582326128312283, 1.0274839645781897, 1.0271568626578549, 1.0312060557469367, 1.0301923460350182, 1.0272651943743558, 1.0599983493264418, 1.0079106015919406, 1.0045387958456768, 1.0138632117060318, 1.0154317948438045, 1.0099636863347918, 0.9907358224202547]","[0.0, -0.03131563183637379, -0.15662269990724176, -0.11931221991136304, -0.10027682150012904, -0.1927255268084509, -0.16916526196590054, -0.16916525353603357, -0.19588393473116122, -0.20081712595303908, -0.19907083801050485, -0.20637593975022941, -0.20639033186660588, -0.21801418475948292]",4897.086695776039
"[0.0, 17.57106258862502, 99.6813961097821, 41.626356190262776, 8.938994096432861, 13.233600024971592, 0.0, 0.0, 23.782388075040636, 10.541946825315812, 3.3994578076442403, 7.238637758466554, 16.003547876281967, 17.003936354585466]","[0.0, 12.11629646129778, 21.668638703528117, -3.6143983280437935, 1.3884753578790994, 7.670403787375051, 0.0, 0.0, 17.065206169393385, 4.865449465548183, 1.8828052032234022, 1.9136344640667287, 4.964994915348736, 5.036659304727474]","[1.0599996862904448, 1.0583393912624524, 1.0245070171806219, 1.0240806176897064, 1.0283395081065845, 1.033148164378318, 1.0262256273494574, 1.0599983714756402, 1.0076118725253134, 1.0046971704115775, 1.0152025188214588, 1.0151613044740446, 1.0099817241699398, 0.9881195042430383]","[0.0, -0.0401832391589126, -0.1833606145995347, -0.1395123445171471, -0.11874809040213152, -0.23049531424326103, -0.19666715731907622, -0.19666714702767837, -0.22721365674306016, -0.23437604377090496, -0.2345797657772774, -0.2485103060152127, -0.24943422912001523, -0.2591655318873846]",5380.755605505372
"[0.0, 17.753238804821347, 89.47540331912543, 50.2064415884562, 7.609534226083466, 12.797074488523682, 0.0, 0.0, 24.432711219325075, 9.512709401542738, 2.837115834758271, 6.30929241830725, 15.87724330369477, 15.349826100140241]","[0.0, 13.427904149687155, 18.682721967735528, -3.971162191332859, 1.8825374776169763, 7.158307913402323, 0.0, 0.0, 14.58005313500093, 4.800918218030383, 1.5125601609917474, 1.291661968416992, 4.859107668953754, 5.366013546832714]","[1.059999646363325, 1.058496247848573, 1.0267458153532105, 1.0249018823915725, 1.0292887944850464, 1.0346030073651882, 1.0281161539295065, 1.0599981012049813, 1.011125033863369, 1.008396632913236, 1.0184099308851842, 1.0186696761156846, 1.0126013182142855, 0.9920991690917171]","[0.0, -0.036867789693306396, -0.17028200437387025, -0.13607889683913152, -0.11480018585629408, -0.2208915493623372, -0.1906205065652516, -0.1906204960501827, -0.21969337815563333, -0.22563878168060256, -0.2250560104522168, -0.23781574702600747, -0.23897916108500167, -0.24746038637488532]",5226.088379998147
"[0.0, 18.391339513206866, 79.78838897856131, 50.652900976459144, 8.347976432966886, 11.573492067635275, 0.0, 0.0, 26.971402618125957, 10.326956861482058, 3.113034173927234, 7.2302629962350915, 10.865634163325009, 17.70047780717753]","[0.0, 14.687007017586202, 19.21052842905588, -4.669025081946109, 1.3272298014306554, 7.6615628532039635, 0.0, 0.0, 17.459206957218147, 6.254136958444311, 1.7672695666327969, 1.6816371712538007, 5.9956092036615924, 5.802316020981978]","[1.059999712723257, 1.0585054849424724, 1.028523933879658, 1.0236244740023184, 1.0281986145590694, 1.0293510824964593, 1.023902160735041, 1.0599987693841244, 1.0028669704572697, 0.9991778011691291, 1.0106670695688187, 1.0117495790111928, 1.0071477977507022, 0.9823665369741129]","[0.0, -0.03346415287751975, -0.1572596963586397, -0.13097864206271223, -0.11046735109835465, -0.21423096237267916, -0.18836130963803377, -0.18836130211603883, -0.21916090724843434, -0.22432415497743058, -0.22123686277617602, -0.23074330126971043, -0.22973203773241258, -0.24675923871779532]",5068.556879653535
"[0.0, 18.478675986184435, 80.18476721192887, 41.14437949995507, 6.502034604854207, 11.831118856718403, 0.0, 0.0, 34.182103236890946, 8.90626190494634, 3.7345808339294386, 5.3004604857319775, 11.838360701566822, 12.163576952948215]","[0.0, 11.575238922282349, 16.545279680503278, -3.258375952661007, 1.3572069575043848, 7.382336304098177, 0.0, 0.0, 16.62269067847625, 6.2417160024201275, 1.4683047406855914, 1.7916226553017875, 6.0967289036189065, 4.163518063897744]","[1.0599996143178325, 1.0587704594302698, 1.028917623127157, 1.0253220847057305, 1.02984602268545, 1.0304865457597117, 1.0255060842653443, 1.0599984673925427, 1.0055061288455192, 1.0019373505171265, 1.0126115432573248, 1.0152371136929492, 1.010083337985614, 0.9920653509528863]","[0.0, -0.029164359497345138, -0.15012579644247678, -0.12101164815634236, -0.10189652934448735, -0.20177632867898807, -0.18007155425336738, -0.18007154584056118, -0.2117398808152759, -0.21528209063664236, -0.2112426716430115, -0.21519527805327243, -0.21607746145254886, -0.22909518695620615]",4834.52214034371
"[0.0, 21.536296084099817, 95.42796981854377, 39.2308660240448, 7.1032770057095185, 9.562177752686605, 0.0, 0.0, 27.40377537070173, 10.115548005076686, 3.1564969166692696, 6.542866642226388, 14.905230443404308, 15.470006894022754]","[0.0, 12.252151843868123, 17.851398825726765, -4.570065465026609, 1.8115964209841469, 8.895080731999538, 0.0, 0.0, 19.510580633291696, 5.060460713504332, 1.4878773125040798, 1.754317215545638, 5.972777622577396, 5.683657553516545]","[1.0599997062091122, 1.0580752843753585, 1.0251867581888396, 1.0243774614603673, 1.0286817224682214, 1.029707164479302, 1.0239556352774364, 1.059998682837702, 1.002555742338038, 0.999973633732931, 1.0115070652715876, 1.0121536789538874, 1.0060978083503274, 0.9836763075791729]","[0.0, -0.03680633134144, -0.17328634861449502, -0.1309590500483047, -0.11060477920388935, -0.21393692727738634, -0.18767113024838092, -0.18767112194195537, -0.21814293169643575, -0.2236536456699826, -0.22091660852382936, -0.2307910855402409, -0.23165681106722527, -0.24365991367068582]",5189.049127266489
"[0.0, 22.626286602603187, 91.3412436946739, 52.3208137851447, 8.920475724897805, 13.106546937822358, 0.0, 0.0, 35.22112614775555, 10.220033111205364, 2.974527753684574, 7.1268541935863885, 15.497440355135495, 15.01227482047139]","[0.0, 12.186933735660261, 15.616188455047439, -3.6429076969676055, 1.7938262071027276, 6.013896069013809, 0.0, 0.0, 16.84830680350781, 6.7740650300776055, 1.6893691159434923, 1.5020500492135858, 6.351002895614616, 4.904435881779615]","[1.0599997598800892, 1.0570995229078204, 1.0241757623666352, 1.019515618828315, 1.0246694554939244, 1.032064698330637, 1.0223061903155914, 1.0599987584294748, 1.0019940377553664, 0.9986212289965646, 1.0118239561501539, 1.0141059813213902, 1.0078555467203159, 0.9857090167261677]","[0.0, -0.046139531929340394, -0.18607156980661638, -0.15287038142504433, -0.1295885338958307, -0.24643988809959447, -0.2182694717538308, -0.21826946312016296, -0.253257229129963, -0.25780244364826993, -0.25394259488722787, -0.26463641616789557, -0.2650550102369396, -0.27784407816451256]",5704.677160906237
"[0.0, 25.592574704431517, 104.13266632393979, 40.91896392065457, 8.720142646729656, 11.14369176815782, 0.0, 0.0, 28.617519352736956, 7.280889509952424, 3.176148303138925, 6.201587483772515, 14.220782387061197, 13.457010605181887]","[0.0, 14.401445602940438, 22.681456573347, -3.9400766843921904, 1.3898747429429144, 6.816921979558107, 0.0, 0.0, 14.06186719039054, 5.977518223193069, 1.6373197588947885, 1.6346739216101078, 6.151295300976325, 5.659483607414404]","[1.0599996141711696, 1.057505527069154, 1.0231580716241284, 1.025074864641305, 1.0294968698152893, 1.0338765806816939, 1.0274174975627146, 1.0599977412368207, 1.009499473001239, 1.006570556486064, 1.0168174027932895, 1.0172571089244442, 1.0115318503042872, 0.991702240104082]","[0.0, -0.04279010919640745, -0.18848923399527903, -0.1392035311056132, -0.11764137134850877, -0.2178786542613909, -0.1930029410470149, -0.19300292836860838, -0.22173150701063307, -0.22506034627098098, -0.22353626264608678, -0.23342310696229898, -0.2338598254106669, -0.24332599642976613]",5467.120130802224
"[0.0, 18.40652056854678, 78.2595966373886, 51.553041394790036, 7.113219889854921, 12.206955136448851, 0.0, 0.0, 29.965997250028984, 10.046603393420268, 3.2462535041048977, 6.407174958506303, 15.58427984047541, 15.590544601566537]","[0.0, 10.283955970307213, 21.81275144164707, -3.153180280926604, 1.8398090705178878, 7.586811402081636, 0.0, 0.0, 19.906282493941365, 5.453651411847968, 1.9923755680304116, 1.5372357847099152, 5.753311439105069, 5.255010926436741]","[1.0599997339296718, 1.0582040931212904, 1.0281506699124967, 1.0214052405211964, 1.0262814770098134, 1.0285123385918025, 1.022004669287183, 1.0599989442134201, 1.0001116909061, 0.9972939037644332, 1.009029649669008, 1.0113490472070457, 1.0048254898542028, 0.9822780470225325]","[0.0, -0.034697904830377865, -0.1583721302108882, -0.13403134416499948, -0.11322750034746025, -0.224231802617603, -0.19471446891554683, -0.1947144617733286, -0.2273029767753447, -0.23283854901437168, -0.23050880549741345, -0.24145369094171543, -0.24261108098176068, -0.25417172513040936]",5142.323531917597
